Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,-3,-2,0.00010328381091902502,5.339639270124885e-06,8.526469250137773e-06,186422792
0,-3,-1,4.7003657831909514e-05,2.6738696786718977e-06,1.9365878806987916e-05,735107864
0,-3,1,7.807005968348656e-05,3.940514753345697e-06,4.3768678405864395e-05,1195587395
0,-3,2,2.2216238197105698e-05,2.3506057463475807e-06,1.0040912872631527e-05,1769725799
0,-3,4,1.9235883161278282e-05,1.739075844548722e-06,1.6953211733460474e-06,1823289175
0,-3,5,2.4965133516607508e-05,3.922162777140331e-06,1.5010654650275342e-06,113311823
0,-3,6,2.4062235544217446e-05,2.1114014613133987e-06,1.8204957279960653e-06,1480802224
0,-3,7,4.7041886095794096e-05,3.0775145361618286e-06,2.996596783644993e-06,638252938
0,-3,8,0.00020004097833663744,1.0062977299735982e-05,1.5508315274952288e-06,20267358
0,-3,9,7.968244648561122e-05,6.635851798766917e-06,2.653750716559585e-06,673068980
0,-3,10,0.0002537343404531047,2.4815634194233372e-05,2.253363709189203e-06,522135394
0,-3,11,0.00020875345107665124,1.15907818834971e-05,1.3426233281706517e-06,800870453
0,-3,12,0.0003908184212117615,1.5973306996819006e-05,3.4406833185736223e-06,733361730
0,-2,-1,8.019491500120833e-05,8.589925160368815e-06,3.384651477993928e-05,902405858
0,-2,1,5.848927644514825e-05,5.5820724719207046e-06,3.4686351373086625e-05,1399526926
0,-2,2,1.9138660890911975e-05,2.7769077698913245e-06,7.741770341353689e-06,1944503074
0,-2,4,1.6636407954003333e-05,3.7665829991703124e-06,2.4756084889698383e-06,587150321
0,-2,5,1.870283009397698e-05,3.3021537099620914e-06,3.057036761517379e-06,1589750512
0,-2,6,3.593299932864992e-05,7.0944530439494244e-06,2.8727234444270486e-06,322523416
0,-2,7,4.248221293116508e-05,4.535452699261674e-06,2.9732600251661736e-06,273507983
0,-2,8,6.271380614370365e-05,8.575129839213339e-06,1.3927690095941118e-06,1680714980
0,-2,9,7.714373622808674e-05,1.1236455005583487e-05,7.126566724845795e-06,533915499
0,-2,10,7.963369237656135e-05,1.0928652733352464e-05,1.4671921699252073e-05,898516284
0,-2,11,0.00010548425498972662,1.4593411114756078e-05,1.4721969233860468e-05,100277818
0,-2,12,0.00030211708326466125,2.311446518113393e-05,2.1799514504024484e-06,795978640
0,-1,1,2.886317578882166e-05,1.1765995431873721e-05,1.775074608797158e-05,267560443
0,-1,2,3.506042452803653e-05,1.5952529537274922e-05,1.2208265208866386e-05,465475209
0,-1,4,1.4713028603166193e-05,6.385628882145054e-06,1.772839479901135e-06,24984669
0,-1,5,2.6338716411921287e-05,1.1211157866586963e-05,1.101956721855726e-06,943593558
0,-1,6,3.218303573626343e-05,1.3559378082018508e-05,1.1269589026334732e-06,1320372610
0,-1,7,7.322609705193518e-05,3.0667081131494145e-05,2.3057918605285525e-06,2055673499
0,-1,8,7.761175156271207e-05,3.381910041296537e-05,8.027093739911102e-06,1933526892
0,-1,9,9.549878667946622e-05,4.156887160183628e-05,1.7112706126578932e-06,1338668932
0,-1,10,0.0001302487774642971,4.9292086539307026e-05,8.369007130265338e-07,543975839
0,-1,11,0.0002037951856635486,7.949858047920968e-05,2.465812650180466e-06,738481025
0,-1,12,0.00018049635056453513,7.325792374001878e-05,1.9959040775302957e-06,339250317
0,1,2,0.00016015856470657347,9.854501332613844e-05,5.683096641654469e-05,1358174965
0,1,4,1.7815261664746526e-05,9.613314922416328e-06,1.4963661843029415e-06,1337251539
0,1,5,1.5844329780519217e-05,8.262455958434625e-06,7.853192005222632e-07,1177137764
0,1,6,1.7440581968957338e-05,9.155720249075545e-06,1.262091741466824e-06,568583172
0,1,7,2.324647132508401e-05,1.3688994710663886e-05,1.3874838072806316e-06,1854155355
0,1,8,8.28576893383426e-05,4.789360051246712e-05,2.5982389745278647e-06,856240059
