Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,-2,-1,0.00011506864959505215,1.8568817109038084e-05,4.921656576881562e-05,186422792
0,-2,1,3.581506808191045e-05,4.032303311692826e-06,2.0448597613051633e-05,735107864
0,-2,2,0.0001175047281384886,7.752582145947841e-06,4.054403174885171e-05,1195587395
0,-2,4,1.3918383306058934e-05,1.7809539490097372e-06,2.398196574750332e-06,1769725799
0,-2,5,2.1284936589889376e-05,3.095505138653243e-06,1.6856061599362283e-06,1823289175
0,-2,6,2.2737457289694046e-05,4.1137496095030156e-06,1.2117832799895037e-06,113311823
0,-2,7,9.41425241775637e-05,7.83130535320179e-06,1.9256912040191386e-06,1480802224
0,-2,8,7.614114767327274e-05,1.1900944425816942e-05,4.347866373188913e-06,638252938
0,-2,9,8.745483976523172e-05,1.3561540717934125e-05,1.7773551696949162e-06,20267358
0,-2,10,0.0002251421736321784,1.7140842751671815e-05,2.1727402663096436e-06,673068980
0,-1,1,8.072497003899223e-05,4.2385070961148004e-05,5.0405244587783894e-05,522135394
0,-1,2,3.7775173738601254e-05,1.56321706052487e-05,1.646586983043975e-05,800870453
0,-1,4,1.3206475784005945e-05,5.7484701455167084e-06,2.1038495126460317e-06,733361730
0,-1,5,2.396529040762178e-05,9.941894117363222e-06,2.7739464524764253e-06,902405858
0,-1,6,2.431578347680184e-05,1.1274947551197356e-05,3.8349893120095595e-06,1399526926
0,-1,7,3.328539686110116e-05,1.5129643269634496e-05,8.798312464086523e-07,1944503074
0,-1,8,6.955295015953649e-05,2.794189301283083e-05,2.659811861566684e-06,587150321
0,-1,9,0.0004426295534610107,0.00018609633481425812,1.558145414727394e-06,1589750512
0,-1,10,0.00016427857709058077,6.401243188843262e-05,1.576919607979048e-06,322523416
0,1,2,2.429810865647354e-05,1.4623036885929041e-05,1.0074760090200978e-05,273507983
0,1,4,1.6861295583262202e-05,9.432107771172222e-06,8.418232289428582e-07,1680714980
0,1,5,3.608514289247589e-05,1.6176284029778652e-05,2.859009525893555e-06,533915499
0,1,6,1.6341333261370467e-05,8.593453645639036e-06,1.0441560546308925e-06,898516284
0,1,7,4.3465368798833166e-05,2.4351089509419426e-05,1.9436044017026372e-06,100277818
0,1,8,8.575926592992328e-05,4.975842357257528e-05,2.511451726028528e-06,795978640
0,1,9,4.638540532254104e-05,2.773982275326566e-05,3.942047930625888e-06,267560443
