Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,init_lr,weight_decay,layers,layer_width,activation,epochs
0,5,8,0.00014134257426129976,5.788328010746718e-05,3.273989771810869e-05,0.0001,1e-08,1,10,ReLU,100
0,5,8,0.00015832110832838763,1.4164512782676542e-05,9.358263807863572e-06,0.0001,1e-08,1,10,ReLU,200
0,5,8,0.0002467669299621335,5.523983074822952e-05,2.6599109436123304e-05,0.0001,1e-08,1,10,Tanh,100
0,5,8,0.00010438654305332215,3.974805973653142e-05,8.500756850631805e-06,0.0001,1e-08,1,10,Tanh,200
0,5,8,5.4603000000458325e-05,7.490030335228024e-06,4.503527997839884e-06,0.0001,1e-08,1,50,ReLU,100
0,5,8,5.4027957426813174e-05,6.178978364543762e-06,5.218996274877008e-06,0.0001,1e-08,1,50,ReLU,200
0,5,8,0.00010773341309307931,3.0448804291874865e-05,2.579275272115784e-05,0.0001,1e-08,1,50,Tanh,100
0,5,8,7.812541658832792e-05,8.771951855673923e-06,4.26818200279699e-06,0.0001,1e-08,1,50,Tanh,200
0,5,8,0.00017560248692950715,5.485897336554551e-05,2.148074489629664e-05,0.0001,1e-08,2,10,ReLU,100
0,5,8,0.00035665966142883396,4.962628592469336e-05,3.376865782088031e-05,0.0001,1e-08,2,10,ReLU,200
0,5,8,0.00012185853936508048,3.149423007787995e-05,1.046802905206126e-05,0.0001,1e-08,2,10,Tanh,100
0,5,8,0.00010111782521959288,4.513265769074327e-06,3.3060194446704287e-06,0.0001,1e-08,2,10,Tanh,200
0,5,8,4.816432812910071e-05,4.064405223637462e-06,3.814261722988757e-06,0.0001,1e-08,2,50,ReLU,100
0,5,8,4.7514224192650704e-05,4.02240738570462e-06,5.79574804098508e-06,0.0001,1e-08,2,50,ReLU,200
0,5,8,6.802577556088042e-05,6.4930499443836545e-06,5.961262308983388e-06,0.0001,1e-08,2,50,Tanh,100
