Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,init_lr,weight_decay,layers,layer_width,activation,epochs
0,-2,-1,8.039549864193934e-05,8.519747272039132e-06,3.361065665380929e-05,0.0001,1e-08,2,150,ReLU,200
0,-2,1,5.591439099437676e-05,5.301621624926058e-06,3.59835355499825e-05,0.0001,1e-08,2,150,ReLU,200
0,-2,2,2.9933670791679685e-05,5.8019362059442505e-06,1.1769424972368902e-05,0.0001,1e-08,2,150,ReLU,200
0,-2,4,6.24454768520992e-05,4.511636995008299e-06,3.2194804447906113e-06,0.0001,1e-08,2,150,ReLU,200
0,-2,5,3.357377092844903e-05,4.6064050730421235e-06,1.57836094391208e-06,0.0001,1e-08,2,150,ReLU,200
0,-2,6,3.155091832708496e-05,4.8913518649934e-06,1.2396835389754459e-06,0.0001,1e-08,2,150,ReLU,200
0,-2,7,8.243108088574297e-05,8.910972252830707e-06,1.4216666304979052e-06,0.0001,1e-08,2,150,ReLU,200
0,-2,8,8.868587944360078e-05,1.0204165081920631e-05,1.4994134679505055e-06,0.0001,1e-08,2,150,ReLU,200
0,-2,9,0.00012047440706186227,1.4206747644264818e-05,1.6084864751460138e-06,0.0001,1e-08,2,150,ReLU,200
0,-2,10,0.00013855475362241481,1.5535987957871172e-05,2.0718582770283084e-06,0.0001,1e-08,2,150,ReLU,200
0,-1,1,3.743528515660509e-05,1.663712428066017e-05,2.227078305732925e-05,0.0001,1e-08,2,150,ReLU,200
0,-1,2,2.8861391840240553e-05,1.2199019769705024e-05,1.54467951731974e-05,0.0001,1e-08,2,150,ReLU,200
0,-1,4,2.3593618372378218e-05,1.2329246389279107e-05,1.859461040100345e-06,0.0001,1e-08,2,150,ReLU,200
0,-1,5,3.066868120632342e-05,1.3037548907980962e-05,1.1171171560444072e-06,0.0001,1e-08,2,150,ReLU,200
0,-1,6,2.7419550848158326e-05,1.4338826278178495e-05,1.5699907325418947e-06,0.0001,1e-08,2,150,ReLU,200
0,-1,7,0.00011745849815787498,4.2170424115664935e-05,2.355495042671832e-06,0.0001,1e-08,2,150,ReLU,200
0,-1,8,9.991152847152232e-05,4.81555851086168e-05,3.126287130829028e-06,0.0001,1e-08,2,150,ReLU,200
0,-1,9,0.00024662484451456123,0.00010204511192072173,2.168967742188807e-06,0.0001,1e-08,2,150,ReLU,200
0,-1,10,0.00010292052381682929,4.616685616601005e-05,3.170816647570311e-06,0.0001,1e-08,2,150,ReLU,200
0,1,2,4.030858317537395e-05,2.300583185061672e-05,1.3273563002489418e-05,0.0001,1e-08,2,150,ReLU,200
0,1,4,3.6343850425624447e-05,2.29971147329873e-05,3.6667618630841693e-06,0.0001,1e-08,2,150,ReLU,200
0,1,5,2.1755812295562097e-05,1.3883837683074406e-05,1.1807815272800598e-06,0.0001,1e-08,2,150,ReLU,200
0,1,6,2.7905829498020654e-05,1.588942901174699e-05,1.925089094336092e-06,0.0001,1e-08,2,150,ReLU,200
0,1,7,2.8634227622447977e-05,1.618677922744893e-05,1.7778912268258987e-06,0.0001,1e-08,2,150,ReLU,200
0,1,8,4.9390448577024185e-05,2.856126989297098e-05,1.5200110231415222e-06,0.0001,1e-08,2,150,ReLU,200
0,1,9,0.000116651404663098,6.396166957871667e-05,1.4617950516654454e-05,0.0001,1e-08,2,150,ReLU,200
0,1,10,0.00035018756250148984,0.0001731009126931627,4.3422147972008585e-06,0.0001,1e-08,2,150,ReLU,200
0,2,4,2.330288861865552e-05,6.269587787598194e-06,3.584037441504347e-06,0.0001,1e-08,2,150,ReLU,200
0,2,5,2.059646117451388e-05,7.211458130193366e-06,9.503292404672159e-07,0.0001,1e-08,2,150,ReLU,200
0,2,6,2.540593000165659e-05,8.20734461561382e-06,1.2378593675653667e-06,0.0001,1e-08,2,150,ReLU,200
0,2,7,6.067412884203163e-05,1.754414062617503e-05,9.615276064011388e-06,0.0001,1e-08,2,150,ReLU,200
0,2,8,5.82708278048071e-05,2.523814016849415e-05,4.326313307865924e-06,0.0001,1e-08,2,150,ReLU,200
0,2,9,3.791805821587884e-05,1.964471921378644e-05,1.7092187377597333e-06,0.0001,1e-08,2,150,ReLU,200
0,2,10,6.195862802108733e-05,2.2085167282421293e-05,1.5807289461930154e-06,0.0001,1e-08,2,150,ReLU,200
0,4,5,2.6314017651473435e-05,8.01402567555152e-06,6.041130735902667e-06,0.0001,1e-08,2,150,ReLU,200
0,4,6,7.586880904686997e-05,2.015158461914671e-06,1.039702825130591e-06,0.0001,1e-08,2,150,ReLU,200
0,4,7,1.6862450614206013e-05,9.629316259960972e-07,7.094990917092812e-07,0.0001,1e-08,2,150,ReLU,200
0,4,8,1.829439013380431e-05,1.2831998773801259e-06,8.684957492141142e-07,0.0001,1e-08,2,150,ReLU,200
0,4,9,1.4514896292773643e-05,1.3856808671400864e-06,8.371676796873352e-07,0.0001,1e-08,2,150,ReLU,200
0,4,10,1.8474383565352738e-05,2.9686606218307867e-06,2.8006687656929774e-06,0.0001,1e-08,2,150,ReLU,200
0,5,6,2.2069619310942188e-05,1.2954604718766742e-06,1.5310068773540376e-06,0.0001,1e-08,2,150,ReLU,200
0,5,7,2.153178529068908e-05,2.036799819117406e-06,1.2473296344908408e-06,0.0001,1e-08,2,150,ReLU,200
0,5,8,2.3494706132138905e-05,8.30582712044071e-07,8.327606321062502e-07,0.0001,1e-08,2,150,ReLU,200
0,5,9,2.842249400202648e-05,1.8233110066527334e-06,1.650154648446011e-06,0.0001,1e-08,2,150,ReLU,200
0,5,10,2.7253704923003546e-05,1.7580955656967255e-06,1.6126306389301874e-06,0.0001,1e-08,2,150,ReLU,200
0,6,7,3.074529136615143e-05,1.6007220284137744e-06,1.4125085213811798e-06,0.0001,1e-08,2,150,ReLU,200
0,6,8,8.179245620858178e-05,2.132663229371656e-06,2.000669101524539e-06,0.0001,1e-08,2,150,ReLU,200
0,6,9,2.729826352244035e-05,1.2893204257983626e-06,1.432632254451736e-06,0.0001,1e-08,2,150,ReLU,200
0,6,10,3.343518728462695e-05,9.725709871770753e-07,9.84738961274713e-07,0.0001,1e-08,2,150,ReLU,200
0,7,8,6.876495067641516e-05,3.0055187559444653e-06,2.8442497414850557e-06,0.0001,1e-08,2,150,ReLU,200
0,7,9,8.393313057462706e-05,1.6502512631964073e-06,2.5511254027314503e-06,0.0001,1e-08,2,150,ReLU,200
0,7,10,0.00010020360284342881,3.121829072493006e-06,2.784335883828547e-06,0.0001,1e-08,2,150,ReLU,200
0,8,9,0.0001632458566098633,2.1768627053834954e-06,2.0324647296465456e-06,0.0001,1e-08,2,150,ReLU,200
0,8,10,0.00019253417691482378,2.872433429886738e-06,2.5326137248695013e-06,0.0001,1e-08,2,150,ReLU,200
0,9,10,0.0002877693413519085,4.356977032491914e-06,4.230564457543205e-06,0.0001,1e-08,2,150,ReLU,200
