Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3
0,-3,-2,0.0002734230075079117,1.1614837126014566e-05,2.3030211826696376e-05
0,-3,-1,0.0003120653453648908,2.7477482972944767e-05,0.00013288637262838288
0,-3,1,3.444275499674421e-05,1.167545466310194e-05,2.5220497821038765e-05
0,-3,2,3.933833115928861e-05,1.690041330006733e-05,1.1894831715536932e-05
0,-3,4,3.523125431221009e-05,1.1715408496525913e-05,1.617934197629181e-05
0,-3,5,4.5255005257856575e-05,7.818519279814342e-06,1.65080221067224e-06
0,-3,6,0.00010453402940365915,1.7754351292097814e-05,2.852993166255148e-06
0,-3,7,0.00022992256933958548,2.9368022998257423e-05,2.703778853755128e-06
0,-3,8,0.0003703300089858941,2.4793594299800664e-05,2.880989042714794e-06
0,-3,9,0.00038877509788561764,2.0450581462905578e-05,1.0352591612702555e-05
0,-3,10,0.00040987542420414086,2.205611004497813e-05,2.957566083687118e-06
0,-3,11,0.00041242883215775736,5.9757568575293276e-05,1.8657819978984017e-06
0,-3,12,0.00042508372687408564,1.9133243795355978e-05,8.018473788499107e-06
0,-2,-1,0.00014107056180394918,1.514080545963946e-05,5.656682107644818e-05
0,-2,1,4.751003951580281e-05,1.79478838875472e-05,3.2105737238369635e-05
0,-2,2,9.549231802100076e-05,1.906080968336266e-05,4.4530922936534376e-05
0,-2,4,2.958046398599197e-05,1.560040600288371e-05,8.450479838462821e-06
0,-2,5,7.80750091942037e-05,1.764137908850469e-05,1.8676665471143946e-06
0,-2,6,0.00013580770556257069,2.5163146109256668e-05,3.5051326556300478e-06
0,-2,7,0.0001662468725683918,2.6733690538034827e-05,2.261694208253405e-06
0,-2,8,0.00021914368864818737,2.9652526515881516e-05,3.889507757153144e-06
0,-2,9,0.0004233969212301858,3.907712973471747e-05,2.079324177726731e-06
0,-2,10,0.0002945606390730185,3.375778633252131e-05,4.9563584321906126e-06
0,-2,11,0.0003029212549567306,2.765041673520421e-05,2.348928205129275e-06
0,-2,12,0.0002859364181470892,5.2382185416251317e-05,2.256659870396587e-06
0,-1,1,3.8135147531074874e-05,2.056556101347925e-05,2.2096828394777992e-05
0,-1,2,1.8808243790413794e-05,1.1937987391634144e-05,1.0181030329794135e-05
0,-1,4,3.2989249948199825e-05,1.589943363340547e-05,1.3784284003318545e-05
0,-1,5,4.194510760705167e-05,2.1507452415315096e-05,2.6663582926727414e-06
0,-1,6,8.10801199835171e-05,3.690807147840393e-05,2.9676253474835473e-06
0,-1,7,0.0002197196450005215,7.959806563409003e-05,4.303690317055834e-06
0,-1,8,0.00013132599567013272,5.451403294428982e-05,2.3619811183934937e-06
0,-1,9,0.00017955098801513577,8.093766358823886e-05,1.9626171358999226e-06
0,-1,10,0.00011742726690288066,5.86797513062029e-05,2.663828479541485e-06
0,-1,11,0.0001248282211497203,5.3603355187364677e-05,2.031681434287078e-06
0,-1,12,0.00011630104567723052,5.015416756155293e-05,1.4680564059404934e-06
0,1,2,4.8562718820268676e-05,2.5874299014095036e-05,1.4520546169133623e-05
0,1,4,2.8676099476793015e-05,1.4592309611188199e-05,2.6772208995574676e-06
0,1,5,4.366482120482009e-05,2.6454732458487364e-05,3.2819466597255234e-06
0,1,6,4.2063021543003974e-05,3.100664362294195e-05,1.444174281002013e-06
0,1,7,4.662600469745919e-05,2.866090821014255e-05,1.850551754194075e-06
0,1,8,8.202504477380835e-05,5.2045138890897414e-05,1.9081264606536158e-06
0,1,9,4.389243863015524e-05,3.2322622325944466e-05,3.339680289657335e-06
0,1,10,4.3481827577032645e-05,3.22881675056461e-05,1.7420526759461322e-06
0,1,11,6.532820482340185e-05,4.2909621853576674e-05,1.6372807370459855e-06
0,1,12,3.879750769187903e-05,2.869008282152492e-05,1.5678945181175056e-06
0,2,4,2.0873231950440115e-05,1.0393730196531568e-05,2.54736007301899e-06
0,2,5,2.686536091450369e-05,1.677068695799846e-05,1.2377505919719653e-06
0,2,6,2.7659144124711057e-05,1.7474279735043532e-05,1.5279715242457612e-06
0,2,7,3.0037424672048663e-05,9.806805883377816e-06,1.3887806349581175e-06
0,2,8,4.502262925255725e-05,2.0548603501256748e-05,6.774906684094672e-06
0,2,9,2.5114728326542394e-05,1.1295017238645266e-05,2.4332105454281687e-06
0,2,10,2.335469090206022e-05,1.2393734754415269e-05,3.3125663746111818e-06
0,2,11,4.881138406368174e-05,2.7637889245152567e-05,1.843126679473313e-06
0,2,12,2.515909897130358e-05,1.3069883204189911e-05,1.8324185880766104e-06
0,4,5,6.029441656734388e-05,2.745121946835271e-06,2.5538297250249563e-06
0,4,6,3.392517486964931e-05,2.670106697810309e-06,4.292004249033568e-06
0,4,7,3.031489805266835e-05,3.971277314691697e-06,1.9651723018961114e-06
0,4,8,3.142339278335581e-05,8.129878047741448e-06,5.246161509111999e-06
0,4,9,2.5377058771581095e-05,2.1067245063932137e-06,4.00453445863193e-06
0,4,10,2.7401613235502736e-05,2.7970123494811294e-06,1.650250335231378e-06
0,4,11,3.721325565899759e-05,9.605048469114893e-06,1.4116260731730348e-06
0,4,12,3.6916772442255765e-05,3.513305048118311e-06,1.1072771294396375e-06
0,5,6,4.988682713716327e-05,2.6911976024565797e-06,1.0515451487678844e-06
